livraison_id	commande_fk	livreur_fk	statut	date_depart	date_arrivee
7	7	5	annulee	2025-01-16 01:31:40	2025-01-16 01:37:40
8	8	4	livree	2025-01-16 05:36:34	2025-01-16 05:49:34
11	11	6	livree	2025-01-16 17:47:50	2025-01-16 17:59:50
16	16	1	livree	2025-01-17 00:11:54	2025-01-17 00:21:54
19	19	3	livree	2025-01-17 06:06:04	2025-01-17 06:21:04
21	21	1	annulee	2025-01-17 14:49:33	2025-01-17 14:55:33
22	22	3	livree	2025-01-17 15:26:34	2025-01-17 15:36:34
27	27	3	livree	2025-01-18 12:18:31	2025-01-18 12:36:31
28	28	5	livree	2025-01-18 12:53:41	2025-01-18 13:03:41
29	29	4	livree	2025-01-18 17:26:49	2025-01-18 17:40:49
30	30	2	livree	2025-01-18 19:46:32	2025-01-18 19:59:32
31	31	3	livree	2025-01-19 00:56:29	2025-01-19 01:14:29
35	35	5	livree	2025-01-19 04:47:11	2025-01-19 05:04:11
37	37	6	livree	2025-01-19 06:42:29	2025-01-19 06:54:29
41	41	3	livree	2025-01-19 11:38:10	2025-01-19 11:55:10
42	42	6	livree	2025-01-19 13:59:55	2025-01-19 14:11:55
44	44	2	livree	2025-01-19 14:13:40	2025-01-19 14:28:40
45	45	2	livree	2025-01-19 15:02:27	2025-01-19 15:17:27
48	48	1	livree	2025-01-19 19:43:48	2025-01-19 19:53:48
49	49	6	livree	2025-01-19 21:51:44	2025-01-19 22:02:44
51	51	5	annulee	2025-01-20 00:06:09	2025-01-20 00:11:09
52	52	3	livree	2025-01-20 02:21:16	2025-01-20 02:29:16
55	55	6	livree	2025-01-20 06:13:05	2025-01-20 06:21:05
56	56	6	livree	2025-01-20 09:43:59	2025-01-20 09:51:59
57	57	1	livree	2025-01-20 10:30:29	2025-01-20 10:43:29
58	58	4	livree	2025-01-20 11:31:41	2025-01-20 11:42:41
59	59	1	livree	2025-01-20 13:09:31	2025-01-20 13:18:31
62	62	6	livree	2025-01-20 16:00:54	2025-01-20 16:17:54
64	64	6	livree	2025-01-20 18:39:28	2025-01-20 18:47:28
65	65	1	livree	2025-01-21 00:00:20	2025-01-21 00:18:20
68	68	2	livree	2025-01-21 01:17:02	2025-01-21 01:33:02
71	71	2	livree	2025-01-21 04:31:07	2025-01-21 04:49:07
74	74	5	livree	2025-01-22 01:01:24	2025-01-22 01:18:24
75	75	1	livree	2025-01-22 01:53:47	2025-01-22 02:04:47
81	81	6	livree	2025-01-22 06:38:26	2025-01-22 06:46:26
82	82	2	livree	2025-01-22 07:51:40	2025-01-22 08:07:40
84	84	6	annulee	2025-01-22 11:09:43	2025-01-22 11:23:43
85	85	5	livree	2025-01-22 13:12:35	2025-01-22 13:28:35
87	87	2	livree	2025-01-22 22:57:23	2025-01-22 23:15:23
89	89	2	livree	2025-01-22 22:59:44	2025-01-22 23:08:44
94	94	1	livree	2025-01-23 13:34:44	2025-01-23 13:49:44
95	95	3	livree	2025-01-23 14:03:38	2025-01-23 14:18:38
97	97	2	livree	2025-01-23 16:47:01	2025-01-23 17:01:01
103	103	1	livree	2025-01-24 02:12:44	2025-01-24 02:22:44
104	104	6	livree	2025-01-24 04:16:47	2025-01-24 04:31:47
105	105	5	annulee	2025-01-24 04:47:49	2025-01-24 05:01:49
106	106	4	livree	2025-01-24 08:25:44	2025-01-24 08:40:44
108	108	1	livree	2025-01-24 11:34:00	2025-01-24 11:44:00
113	113	6	livree	2025-01-24 13:30:38	2025-01-24 13:45:38
115	115	5	livree	2025-01-24 23:02:48	2025-01-24 23:11:48
116	116	2	livree	2025-01-25 00:48:29	2025-01-25 00:56:29
119	119	5	livree	2025-01-25 05:23:32	2025-01-25 05:36:32
122	122	3	livree	2025-01-25 12:43:24	2025-01-25 12:51:24
130	130	2	livree	2025-01-26 10:22:33	2025-01-26 10:36:33
131	131	6	livree	2025-01-26 13:12:01	2025-01-26 13:30:01
137	137	2	livree	2025-01-27 05:12:30	2025-01-27 05:22:30
139	139	2	livree	2025-01-27 06:09:55	2025-01-27 06:17:55
144	144	5	livree	2025-01-27 12:35:36	2025-01-27 12:43:36
145	145	5	livree	2025-01-27 16:37:05	2025-01-27 16:47:05
146	146	2	livree	2025-01-27 17:42:43	2025-01-27 17:55:43
